Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Drasna,231/191,Regular,,Confirmed,,0,
,Drayton,232/191,Regular,,Confirmed,,0,
,Jasmine's Gaze,233/191,Regular,,Confirmed,,0,
,Lisia's Appeal,234/191,Regular,,Confirmed,,0,
,Surfer,235/191,Regular,,Confirmed,,0,
,Durant ex,236/191,Regular,,Confirmed,,0,
,Milotic ex,237/191,Regular,,Confirmed,,0,
,Pikachu ex,238/191,Regular,,Confirmed,,0,
,Latias ex,239/191,Regular,,Confirmed,,0,
,Hydreigon ex,240/191,Regular,,Confirmed,,0,
,Archaludon ex,241/191,Regular,,Confirmed,,0,
,Alolan Exeggutor ex,242/191,Regular,,Confirmed,,0,
,Clemont's Quick Wit,243/191,Regular,,Confirmed,,0,
,Drayton,244/191,Regular,,Confirmed,,0,
,Jasmine's Gaze,245/191,Regular,,Confirmed,,0,
,Lisia's Appeal,246/191,Regular,,Confirmed,,0,
,Pikachu ex,247/191,Regular,,Confirmed,,0,
,Alolan Exeggutor ex,248/191,Regular,,Confirmed,,0,
,Counter Gain,249/191,Regular,,Confirmed,,0,
,Gravity Mountain,250/191,Regular,,Confirmed,,0,
,Night Stretcher,251/191,Regular,,Confirmed,,0,
,Jet Energy,252/191,Regular,,Confirmed,,0,
